cleaned_description,count_group,delta_re
ball,2-Str,0.09300895187771516
ball,Behind,0.1231171220160581
ball,Early,0.04663021810575807
called_strike,2-Str,-0.21088138350513913
called_strike,Behind,-0.07825130283061761
called_strike,Early,-0.055225954182876784
catcher_interf,2-Str,0.4722074840086784
catcher_interf,Behind,0.11423864709880527
catcher_interf,Early,0.3770791073520108
double,2-Str,0.8254798584863484
double,Behind,0.6770669593188114
double,Early,0.7827873468858746
field_error,2-Str,0.49359099337301454
field_error,Behind,0.3699715915174124
field_error,Early,0.44164330462114787
foul_strike,2-Str,-0.00014672138174358858
foul_strike,Behind,-0.08024781706274396
foul_strike,Early,-0.059288053845152046
hit_by_pitch,2-Str,0.41070887925991495
hit_by_pitch,Behind,0.24621806292231974
hit_by_pitch,Early,0.36135607659475416
home_run,2-Str,1.4396804683019553
home_run,Behind,1.3095724633445331
home_run,Early,1.3989414985976305
out,2-Str,-0.2085567738145133
out,Behind,-0.359394341069569
out,Early,-0.26601148454262524
single,2-Str,0.5160160938817782
single,Behind,0.37917624944471584
single,Early,0.4735568023247945
swinging_strike,2-Str,-0.21660119957803928
swinging_strike,Behind,-0.08037564813923839
swinging_strike,Early,-0.05837429771967184
triple,2-Str,1.0870406307394571
triple,Behind,0.9856831697324964
triple,Early,1.0531589484261918
